"numero","imagenJugador","nombreJugador","posicionJugador","nacionalidadesDelJugador"
"33","https://img.a.transfermarkt.technology/portrait/medium/883265-1734594915.jpg?lm=1","Andrés Micolta","Defensa central","[""Ecuador""]"
"4","https://img.a.transfermarkt.technology/portrait/medium/294804-1694441373.PNG?lm=1","Eduardo Bauermann","Defensa central","[""Brasil""]"
"35","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Jorge Berlanga","Defensa central","[""México""]"
"22","https://img.a.transfermarkt.technology/portrait/medium/30677-1447159788.jpg?lm=1","Gustavo Cabral","Defensa central","[""Argentina"",""España""]"
"8","https://img.a.transfermarkt.technology/portrait/medium/704556-1572342247.png?lm=1","Bryan González","Lateral izquierdo","[""México""]"
"-","https://img.a.transfermarkt.technology/portrait/medium/811373-1671651714.jpg?lm=1","José Castillo","Lateral izquierdo","[""México""]"
"3","https://img.a.transfermarkt.technology/portrait/medium/833268-1688713697.jpg?lm=1","Alonso Aceves","Lateral izquierdo","[""México""]"
"32","https://img.a.transfermarkt.technology/portrait/medium/803608-1673379947.jpg?lm=1","Carlos Sánchez","Lateral derecho","[""México""]"
"24","https://img.a.transfermarkt.technology/portrait/medium/141103-1734595078.jpg?lm=1","Luis Rodríguez","Lateral derecho","[""México""]"
"28","https://img.a.transfermarkt.technology/portrait/medium/1125592-1696344955.jpeg?lm=1","Elías Montiel","Pivote","[""México""]"
"5","https://img.a.transfermarkt.technology/portrait/medium/704868-1717797869.JPG?lm=1","Pedro Pedraza","Pivote","[""México""]"
"6","https://img.a.transfermarkt.technology/portrait/medium/895679-1688497587.jpg?lm=1","Santiago Homenchenko","Pivote","[""Uruguay""]"
"26","https://img.a.transfermarkt.technology/portrait/medium/1094383-1734595165.jpg?lm=1","Alán Bautista","Mediocentro ofensivo","[""México""]"
"15","https://img.a.transfermarkt.technology/portrait/medium/704555-1572342002.png?lm=1","Israel Luna","Mediocentro ofensivo","[""México""]"
"19","https://img.a.transfermarkt.technology/portrait/medium/274288-1645735733.jpg?lm=1","Javier Eduardo López","Mediocentro ofensivo","[""México""]"
"11","https://img.a.transfermarkt.technology/portrait/medium/241391-1685101552.jpg?lm=1","Oussama Idrissi","Extremo izquierdo","[""Marruecos"",""Países Bajos""]"
"14","https://img.a.transfermarkt.technology/portrait/medium/185012-1666783411.jpg?lm=1","Arturo González","Extremo izquierdo","[""México""]"
"-","https://img.a.transfermarkt.technology/portrait/medium/281404-1455120897.jpg?lm=1","Kenedy","Extremo izquierdo","[""Brasil""]"
"27","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Owen González","Extremo derecho","[""México""]"
"7","https://img.a.transfermarkt.technology/portrait/medium/1087262-1720638368.jpeg?lm=1","Emi Rodríguez","Extremo derecho","[""México""]"
"187","https://img.a.transfermarkt.technology/portrait/medium/955338-1710190771.jpg?lm=1","Alexéi Domínguez","Extremo derecho","[""México""]"
"197","https://img.a.transfermarkt.technology/portrait/medium/1095046-1736168353.jpg?lm=1","Sergio Hernández","Mediapunta","[""México""]"
"10","https://img.a.transfermarkt.technology/portrait/medium/856085-1680877825.jpg?lm=1","John Kennedy","Delantero centro","[""Brasil""]"
"23","https://img.a.transfermarkt.technology/portrait/medium/80197-1719230840.jpg?lm=1","Salomón Rondón","Delantero centro","[""Venezuela""]"
"9","https://img.a.transfermarkt.technology/portrait/medium/704867-1661796930.jpeg?lm=1","Illian Hernández","Delantero centro","[""México""]"
"22","https://img.a.transfermarkt.technology/portrait/medium/337600-1636413366.JPG?lm=1","Ezequiel Unsain","Portero","[""Argentina""]"
"1","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Emiliano Pérez","Portero","[""México""]"
"3","https://img.a.transfermarkt.technology/portrait/medium/589363-1623093589.jpg?lm=1","Agustín Oliveros","Defensa central","[""Uruguay"",""España""]"
"4","https://img.a.transfermarkt.technology/portrait/medium/397680-1579698167.png?lm=1","Alexis Peña","Defensa central","[""México""]"
"23","https://img.a.transfermarkt.technology/portrait/medium/796063-1659553993.jpg?lm=1","Alán Montes","Defensa central","[""México""]"
"6","https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1","Jesús Alcántar","Defensa central","[""México""]"
"16","https://img.a.transfermarkt.technology/portrait/medium/864436-1684204905.jpg?lm=1","Alfredo Gutiérrez","Defensa central","[""México""]"
"5","https://img.a.transfermarkt.technology/portrait/medium/401344-1564488416.png?lm=1","Alejandro Mayorga","Lateral izquierdo","[""México""]"
"18","https://img.a.transfermarkt.technology/portrait/medium/540308-1579703581.png?lm=1","Raúl Sandoval","Lateral izquierdo","[""México""]"
"26","https://img.a.transfermarkt.technology/portrait/medium/686449-1572341977.png?lm=1","Emilio Lara","Lateral derecho","[""México""]"
"2","https://img.a.transfermarkt.technology/portrait/medium/838928-1713816482.jpg?lm=1","Emilio Martínez","Lateral derecho","[""México""]"
"13","https://img.a.transfermarkt.technology/portrait/medium/801775-1676565349.jpg?lm=1","Alejandro Andrade","Pivote","[""México""]"
"29","https://img.a.transfermarkt.technology/portrait/medium/549361-1558355022.png?lm=1","Iván Rodríguez","Pivote","[""México""]"
